FECHA_CORTE;ITEM;DENOMINACION;TIPO_DE_LIGA;DISCIPLINA_DEPORTIVA;RESOLUCION_INSCRIPCION_RENADE;FECHA_RESOLUCION;OBSERVACIONES;;;
20230731;95;LIGA DISTRITAL DE CICLISMO JACOBO HUNTER - AREQUIPA;DISTRITAL;CICLISMO;0350-DNCTD-RND-2021;2/06/2021;periodo de cuatro (04) años;;;
20230731;96;LIGA DISTRITAL DE KARATE DE SANTIAGO;DISTRITAL;KARATE;074-DNCTD-RND-2008;4/02/2008;;;;
20230731;97;LIGA DISTRITAL DE KARATE DE SAN SEBASTIÁN;DISTRITAL;KARATE;077-DNCTD-RND-2008;5/02/2008;;;;
20230731;98;LIGA DISTRITAL DE KARATE DE TRUJILLO;DISTRITAL;KARATE;343-DNCTD-RND-2009;1/09/2009;Resolución N°1202-DINADAF-RND-2018, periodo 2018-2022;;;
20230731;99;LIGA DEPORTIVA DISTRITAL DE KARATE DE LIMA AKD;DISTRITAL;KARATE;301-DNCTD-RND-2010;25/10/2010;"Resolución N°0585-2022-IPD-DNCTD/SRND.
periodo 13 de abril de 2022 al 31 de diciembre de 2024.";;;
20230731;100;LIGA DEPORTIVA DISTRITAL DE KARATE DE CHICLAYO;DISTRITAL;KARATE;259-DNCTD-RND-2011;21/11/2011;Resolución N°0386-DNCTD-RND-2021, período 2021-2024;;;
20230731;101;LIGA DEPORTIVA DISTRITAL DE KARATE DE TAMBOPATA;DISTRITAL;KARATE;060-DINADAF-RND-2013;19/02/2013;;;;
20230731;102;LIGA DEPORTIVA DISTRITAL DE KARATE DE CHUCUITO;DISTRITAL;KARATE;111-DINADAF-RND-2013;6/05/2013;;;;
20230731;103;LIGA DISTRITAL DE KARATE DE HUANCAYO;DISTRITAL;KARATE;117-DINADAF-RND-2013;14/05/2013;;;;
20230731;104;LIGA DEPORTIVA DE KARATE DEL DISTRITO DE JULIACA LDKDJ;DISTRITAL;KARATE;135-DINADAF-RND-2013;30/05/2013;"Resolución N°0644-2021-IPD-DNCTD/SRND.
periodo comprendido del 21 de abril del 2021 al 20 de abril del 2025";;;
20230731;105;LIGA DEPORTIVA DISTRITAL DE KARATE DE LA ESPERANZA;DISTRITAL;KARATE;241-DINADAF-RND-2013;17/09/2013;"Resolución N°057-DINADAF-RND-2018, periodo 2017-2020. 
Resolución N°0638-2021-IPD-DNCTD/SRND. período 2021-2025";;;
20230731;106;LIGA DISTRITAL DE KARATE DE EL TAMBO;DISTRITAL;KARATE;267-DINADAF-RND-2013;2/10/2013;;;;
20230731;107;LIGA DEPORTIVA DE KARATE DEL DISTRITO LA VICTORIA-CHICLAYO;DISTRITAL;KARATE;281-DINADAF-RND-2013;18/10/2013;Resolución N°1380-DINADAF-RND-2018, periodo 24 de julio de 2018 al 24 de julio de 2022;;;
20230731;108;LIGA DEPORTIVA DE KARATE DEL DISTRITO DE PUNO-LDKP;DISTRITAL;KARATE;020-DINADAF-RND-2014;22/01/2014;"Resolución N°0504-2022-IPD-DNCTD/SRND.
Periodo 21 de octubre de 2020 al 20 de octubre de 2024";;;
20230731;109;LIGA DEPORTIVA DISTRITAL DE KARATE DE PADRE ABAD-UCAYALI;DISTRITAL;KARATE;257-DINADAF-RND-2014;17/10/2014;"Resolución N°0470-2022-IPD-DNCTD/SRND.
periodo de cuatro años del 04 de noviembre de 2020 al 04 de noviembre de 2024";;;
20230731;110;LIGA DEPORTIVA DISTRITAL DE KARATE DE LAREDO;DISTRITAL;KARATE;030-DINADAF-RND-2015;18/02/2015;;;;
20230731;111;LIGA DEPORTIVA DISTRITAL DE KARATE DE HUANCHACO;DISTRITAL;KARATE;078-DINADAF-RND-2015;21/04/2015;"Resolución N°0634-2021-IPD-DNCTD/SRND. 
período 2020-2024";;;
20230731;112;LIGA DEPORTIVA DISTRITAL DE KARATE DE VILLA MARÍA DEL TRIUNFO;DISTRITAL;KARATE;091-DINADAF-RND-2015;14/05/2015;Resolución N°0735-DNCTD-RND-2019, periodo 24 de marzo de 2019 al 23 de marzo de 2023;;;
20230731;113;LIGA DEPORTIVA DISTRITAL DE KARATE DEL DISTRITO DE VICTOR LARCO HERRERA;DISTRITAL;KARATE;168-DINADAF-RND-2015;13/08/2015;;;;
20230731;114;LIGA DEPORTIVA DE KARATE DISTRITAL DE MOCHE;DISTRITAL;KARATE;196-DINADAF-RND-2015;21/09/2015;Resolución N°0913-DNCTD-RND-2019, periodo 2019-2023;;;
20230731;115;"ASOCIACIÓN ""LIGA DISTRITAL DE KARATE AYACUCHO""";DISTRITAL;KARATE;005-DINADAF-RND-2016;8/01/2016;"Resolución N°0177-2022-IPD-DNCTD/SRND. período 24 de noviembre de 2019 al 23 de noviembre de 2023
";;;
20230731;116;LIGA DISTRITAL DE KARATE WANCHAQ;DISTRITAL;KARATE;037-DINADAF-RND-2016;10/02/2016;;;;
20230731;117;LIGA DEPORTIVA DISTRITAL DE KARATE DE FLORENCIA DE MORA;DISTRITAL;KARATE;274-DINADAF-RND-2016;16/05/2016;Resolución N°1329-DINADAF-RND-2018, periodo 2017-2021;;;
20230731;118;LIGA DEPORTIVA DISTRITAL DE KARATE DE JESÚS MARÍA;DISTRITAL;KARATE;518-DINADAF-RND-2016;14/09/2016;Resolución N°0582-2021-IPD-DNCTD/SRND. período 30 de marzo de 2021 al 29 de marzo de 2025;;;
20230731;119;LIGA DEPORTIVA DISTRITAL DE KARATE DE SAN JUAN DE LURIGANCHO;DISTRITAL;KARATE;521-DINADAF-RND-2016;15/09/2016;Resolución N°0545-2021-IPD-DNCTD/SRND. período 01 de enero de 2021 al 31 de diciembre de 2024;;;
20230731;120;LIGA DEPORTIVA DE KARATE DISTRITAL DEL CALLAO;DISTRITAL;KARATE;0663-2021-IPD-DNCTD/SRND;13/12/2021;periodo del 01 de enero del 2021 al 31 de diciembre del 2024;;;
